tn,total_maq,estfilho,pronome.1,quantity_usage,percentage_usage
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,23,43.39622641509434
60,53,360601000061,ACIONAMENTO 5CV 60HZ - D110                       ,2,3.7735849056603774
60,53,360601000061,ACIONAMENTO 5CV 60HZ - D110                       ,2,3.7735849056603774
60,53,360601000062,MODULO INTERMEDIARIO PENEIRA D 10                 ,4,7.547169811320755
60,53,360601000062,MODULO INTERMEDIARIO PENEIRA D 10                 ,4,7.547169811320755
60,53,360601000062,MODULO INTERMEDIARIO PENEIRA D 10                 ,4,7.547169811320755
60,53,360601000062,MODULO INTERMEDIARIO PENEIRA D 10                 ,4,7.547169811320755
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
